customer_id,age,gender,city,income_band,card_type,credit_limit,join_date,account_status
C00001,50,Female,Delhi,Low,Gold,245000,2022-02-15,Active
C00002,33,Male,Delhi,Low,Classic,100000,2021-05-04,Inactive
C00003,50,Female,Bangalore,Medium,Gold,170000,2019-11-12,Active
C00004,50,Female,Chennai,Low,Gold,335000,2021-05-15,Active
C00005,27,Female,Chennai,High,Platinum,590000,2021-04-05,Active
C00006,30,Male,Chennai,Low,Classic,55000,2022-03-03,Active
C00007,55,Female,Pune,Medium,Classic,145000,2019-04-16,Active
C00008,22,Female,Delhi,Medium,Gold,325000,2021-08-07,Active
C00009,50,Female,Hyderabad,Medium,Classic,70000,2022-03-07,Inactive
C00010,39,Female,Hyderabad,Medium,Classic,55000,2019-03-22,Inactive
C00011,59,Male,Ahmedabad,High,Classic,125000,2020-05-16,Blocked
C00012,57,Male,Delhi,Medium,Platinum,810000,2022-09-28,Active
C00013,23,Female,Mumbai,Medium,Platinum,930000,2021-08-20,Active
C00014,45,Female,Delhi,Low,Gold,165000,2021-10-28,Active
C00015,54,Female,Ahmedabad,Low,Classic,60000,2020-12-30,Active
C00016,42,Male,Ahmedabad,Low,Classic,115000,2022-01-06,Active
C00017,58,Female,Ahmedabad,Low,Platinum,700000,2019-04-17,Active
C00018,34,Male,Ahmedabad,Medium,Platinum,990000,2023-12-18,Active
C00019,59,Male,Kolkata,Medium,Platinum,900000,2022-07-10,Active
C00020,22,Male,Ahmedabad,Medium,Gold,205000,2023-01-28,Active
C00021,52,Male,Pune,Low,Classic,60000,2023-12-12,Active
C00022,63,Male,Kolkata,Low,Platinum,570000,2020-02-15,Inactive
C00023,23,Female,Chennai,High,Classic,50000,2021-04-26,Active
C00024,61,Female,Delhi,High,Classic,115000,2023-09-28,Active
C00025,28,Female,Pune,High,Gold,150000,2021-06-21,Blocked
C00026,46,Female,Mumbai,High,Classic,55000,2023-12-16,Active
C00027,52,Male,Delhi,Medium,Classic,105000,2019-12-25,Active
C00028,31,Female,Kolkata,High,Classic,110000,2023-02-13,Active
C00029,21,Female,Chennai,Medium,Classic,145000,2022-04-17,Active
C00030,35,Female,Bangalore,High,Platinum,400000,2023-06-03,Active
C00031,24,Female,Hyderabad,Low,Classic,85000,2019-02-28,Blocked
C00032,24,Male,Mumbai,High,Classic,150000,2020-05-03,Active
C00033,48,Male,Bangalore,Medium,Classic,80000,2021-04-24,Active
C00034,30,Male,Hyderabad,Low,Classic,150000,2021-06-22,Active
C00035,31,Female,Bangalore,Low,Classic,110000,2023-03-01,Blocked
C00036,43,Male,Kolkata,High,Gold,175000,2020-09-01,Active
C00037,23,Female,Delhi,Medium,Classic,90000,2021-10-17,Active
C00038,59,Male,Ahmedabad,High,Gold,295000,2019-02-15,Inactive
C00039,59,Female,Delhi,Low,Platinum,440000,2020-12-26,Inactive
